departamento_destino|departamento_origen|dia_habil|dia_nohabil|diferencia_horas|factor_ajuste|factor_ajuste_transmilenio|fe_total|hora_fin|hora_inicio|id_encuesta|latitud_destino|latitud_origen|longitud_destino|longitud_origen|medio_predominante|motivoviaje|municipio_destino|municipio_origen|numero_persona|numero_viaje|pi_k_i|pi_k_ii|pi_k_iii|pico_habil|pico_nohabil|ponderador_calibrado|ponderador_calibrado_viajes|tiempo_camino|valle_habil|valle_nohabil|zat_destino|zat_origen,
Bogota D.C.|Bogota D.C.||S|01:00:00|134054047747945|120293649023643|63471|09:00:00|08:00:00|18391018|46851548150954|46105477030688|-74048667472265|-74209994598705|ALIMENTADOR|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|401715189873418|158|1|||85085444646098|102352386152783|5|||850|570,
Bogota D.C.|Bogota D.C.||S|02:00:00|134054047747945|120293649023643|63471|20:00:00|18:00:00|18391018|46105477030688|46851548150954|-74209994598705|-74048667472265|ALIMENTADOR|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|401715189873418|158|1||S|85085444646098|102352386152783|5|||570|850,
Bogota D.C.|Bogota D.C.|S||00:33:00|613829349792648|120293649023643|380787423103213|18:21:00|17:48:00|18391039|46338948786214|46163416399036|-74075749650215|-7417084757383|Transmilenio|Asuntos de Trabajo|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|775678084099137|122727272727273|4|||233738496332663|281172566411554|2|||288|533,
Bogota D.C.|Bogota D.C.|S||00:47:00|613829349792648|120293649023643|380787423103213|23:17:00|22:30:00|18391039|46163416399036|46338948786214|-7417084757383|-74075749650215|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|775678084099137|122727272727273|4|||233738496332663|281172566411554|2|||533|288,
Bogota D.C.|Bogota D.C.|S||00:47:00|613829349792648|120293649023643|380787423103213|18:53:00|18:06:00|18391039|45772124570123|46163416399036|-74099369691003|-7417084757383|TPC-SITP|Recibir atencion en salud|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|775678084099137|122727272727273|4|||233738496332663|281172566411554|25|||590|533,
Bogota D.C.|Bogota D.C.|S||01:32:00|613829349792648|120293649023643|380787423103213|21:38:00|20:06:00|18391039|46163416399036|45772124570123|-7417084757383|-74099369691003|TPC-SITP|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|775678084099137|122727272727273|4|||233738496332663|281172566411554|10|||533|590,
Bogota D.C.|Bogota D.C.||S|01:10:00|639026699191019|120293649023643|287902842377261|07:55:00|06:45:00|18391352|46987653093412|46411343554498|-74166926630625|-74162095160611|BICICLETA, BICICLETA CON MOTOR|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|147223044397463|488888888888889|4|||183977603052053|221313372097548|0|||308|411
Bogota D.C.|Bogota D.C.||S|02:00:00|639026699191019|120293649023643|287902842377261|19:55:00|17:55:00|18391352|46411343554498|46987653093412|-74162095160611|-74166926630625|BICICLETA, BICICLETA CON MOTOR|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|147223044397463|488888888888889|4||S|183977603052053|221313372097548|0|||411|308
Bogota D.C.|Bogota D.C.||S|02:00:00|639026699191019|120293649023643|287902842377261|09:00:00|07:00:00|18391352|47468228709358|45867790711897|-74096173661307|-74079272394347|Transmilenio|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|147223044397463|488888888888889|4|||183977603052053|221313372097548|5|||40|411,
Bogota D.C.|Bogota D.C.||S|01:10:00|639026699191019|120293649023643|287902842377261|18:40:00|17:30:00|18391352|46411343554498|47468228709358|-74162095160611|-74096173661307|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|147223044397463|488888888888889|4||S|183977603052053|221313372097548|10|||411|40,
Bogota D.C.|Bogota D.C.||S|00:30:00|63824667536148|120293649023643|588892177589852|08:30:00|08:00:00|18391373|45654858647582|46227465499645|-74086997692401|-7414933519013|MOTO|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|30|||596|522,
Bogota D.C.|Bogota D.C.||S|01:50:00|63824667536148|120293649023643|588892177589852|19:31:00|17:41:00|18391373|46227465499645|45654858647582|-7414933519013|-74086997692401|MOTO|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|109793456838786|536363636363636|1||S|375858474493105|452133874132354|30|||522|596,
Bogota D.C.|Bogota D.C.||S|01:10:00|63824667536148|120293649023643|588892177589852|09:30:00|08:20:00|18391373|47520365147872|46227465499645|-74047907006065|-7414933519013|Transmilenio|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|2|||27|522,
